movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt4838422,Jackie Chan Presents: Amnesia,2015,PG-13,102 min,"Action, Adventure, Comedy",4.1,Having fallen into amnesia 'Who Am I' is forced to fight for his life while searching for answers.,Yinxi Song,/name/nm7439061/,"Ocean Wang, 
Xingtong Yao, 
Ken Lo, 
Zoe Zhang","/name/nm6046311/,/name/nm4080670/,/name/nm0516310/,/name/nm4155145/",171,
tt3415692,Mahabharat,2013,,105 min,"Animation, Action, Adventure",5.3,"A dynastic struggle between the collateral branches of the Kuru clan, the Kauravas and Pandavas, for the throne of Hastinapur leads to the Kurukshetra War.",Amaan Khan,/name/nm6165215/,"Amitabh Bachchan, 
Sunny Deol, 
Ajay Devgn, 
Vidya Balan","/name/nm0000821/,/name/nm0219971/,/name/nm0222426/,/name/nm1799038/",601,
tt0103045,Fight Back to School,1991,Not Rated,100 min,"Action, Comedy, Crime",7.1,A SWAT team leader is going undercover at a high school to retrieve a stolen gun for his captain.,Gordon Chan,/name/nm0150906/,"Stephen Chow, 
Man Cheung, 
Man-Tat Ng, 
Roy Cheung","/name/nm0159507/,/name/nm0156522/,/name/nm0628806/,/name/nm0156558/",4316,
tt13131798,Maha Samudram,2021,,150 min,"Action, Drama, Romance",5,"Set in Visakhapatnam, the story is about four lives and their roller-coaster romantic ride.",Ajay Bhupathi,/name/nm9955408/,"Sharwanand, 
Siddharth, 
Aditi Rao Hydari, 
Anu Emmanuel","/name/nm2319565/,/name/nm1413459/,/name/nm2390814/,/name/nm5245022/",1024,
tt9670282,Zoombies 2,2019,TV-14,84 min,"Action, Adventure, Comedy",3.5,A game ranger and a team of poachers end up surrounded by zombie animals and they forge an alliance to stop the beasts before the super-zombie virus spreads to the entire world.,Glenn Miller,/name/nm2450848/,"Erica Sturdefant, 
Jonathon Buckley, 
Jarrid Masse, 
Terra Strong","/name/nm7356818/,/name/nm1905956/,/name/nm4436837/,/name/nm4225090/",557,
tt0083199,Dangerous Encounters of the First Kind,1980,,95 min,"Action, Crime, Thriller",7.4,"Three lazybones friends manufacture a firebomb and place it in a cinema. Pearl, a sadistic young girl, has observed the scene, follows the bombers and starts to manipulate them. The four criminals plan more and more daring acts.",Hark Tsui,/name/nm0007139/,"Lieh Lo, 
Chen-Chi Lin, 
Albert Au, 
Tin Sang Lung","/name/nm0516316/,/name/nm0155147/,/name/nm0041226/,/name/nm0526712/",928,
tt0460012,Bastards,2006,,97 min,"Action, Drama, War",6.1,A group of Soviet juvenile prisoners is selected for a deadly operation against Nazi Germany.,Alexander Atanesyan,/name/nm0040286/,"Andrey Panin, 
Andrey Krasko, 
Aleksandr Golovin, 
Sergei Rychenkov","/name/nm0659521/,/name/nm0469908/,/name/nm1946577/,/name/nm2243949/",3681,
tt3949638,Power,2014,Not Rated,147 min,"Action, Comedy, Crime",5.8,Ravi Teja plays a young man desperate to become a police officer. He winds up getting embroiled in a plot to pose as his lookalike in order to re-capture an infamous criminal from rogue cops.,K.S. Ravindra,/name/nm5725247/,"Ravi Teja, 
Hansika Motwani, 
Regina Cassandra, 
Brahmanandam","/name/nm0712433/,/name/nm1394426/,/name/nm5294556/,/name/nm0103977/",1021,
tt0396096,Pit Fighter,2005,R,83 min,Action,4.3,"Jack Severino has no memory, all he knows is the brutal sport of Pit Fighting. When his past catches him up, he realizes he is not who he thought he was. For some men must fight for redemption.",Jesse V. Johnson,/name/nm0425364/,"Dominiquie Vandenberg, 
Steven Bauer, 
Fernando Carrillo, 
Stephen Graham","/name/nm0888664/,/name/nm0000874/,/name/nm0140488/,/name/nm0334318/",1187,
tt0467017,Talento de barrio,2008,R,107 min,"Action, Crime, Drama",5.2,"A young drug dealer falls in love while facing disruption among the men in his gang, and being offered a career as a Reggaetón singer.",José Iván Santiago,/name/nm0763598/,"Daddy Yankee, 
Maestro Yek, 
Katiria Soto, 
César Farrait","/name/nm1782362/,/name/nm1960513/,/name/nm1717798/,/name/nm1795443/",853,1666769
tt0113394,The Immortals,1995,R,92 min,"Action, Crime, Drama",5.5,"A seedy night-club owner recruits eight violent gangsters for an elaborate heist. But when they all begin to compare notes, they find they're pawns in a dangerous game of double-cross.",Brian Grant,/name/nm0335283/,"Eric Roberts, 
Joe Pantoliano, 
Tia Carrere, 
Tony Curtis","/name/nm0000616/,/name/nm0001592/,/name/nm0000119/,/name/nm0000348/",1476,
tt1000095,Pokémon Ranger and the Temple of the Sea,2006,TV-Y7-FV,105 min,"Animation, Action, Adventure",5.9,"Our heroes must protect the Prince of the Sea, Manaphy, from the evil pirate Phantom, and return the young Pokémon to the Sea Temple with the help of the the People of the Water and Jackie the Pokémon Ranger.","Kunihiko Yuyama, 
Armen Mazlumian",/name/nm0951197/,"Sarah Natochenny, 
Michele Knotz, 
Kayzie Rogers, 
Bill Rogers","/name/nm4383805/,/name/nm2516299/,/name/nm1690044/,/name/nm0736994/,/name/nm1075459/",2740,
